county,tract,bg,state,pumano,stateabb,countyname
int,int,int,int,int,text,text
33,9800,3029,53,1805,WA,King
33,11300,2012,53,1805,WA,King
33,26500,2017,53,2005,WA,King
33,11300,4002,53,1805,WA,King
33,11300,5014,53,1805,WA,King
33,11300,3003,53,1805,WA,King
33,5302,3011,53,1802,WA,King
33,200,2010,53,1802,WA,King
33,200,2009,53,1802,WA,King
33,100,5004,53,1802,WA,King
33,11200,2067,53,1805,WA,King
33,27500,1012,53,2005,WA,King
33,27900,5001,53,2005,WA,King
33,28402,3012,53,2005,WA,King
33,28600,3006,53,2005,WA,King
33,28700,1000,53,2005,WA,King
33,28802,2024,53,2005,WA,King
33,29004,2011,53,2006,WA,King
33,29102,2015,53,2006,WA,King
33,29503,3006,53,2006,WA,King
33,29307,2010,53,2006,WA,King
33,29503,3009,53,2006,WA,King
33,9300,3162,53,1805,WA,King
33,9300,1005,53,1803,WA,King
33,7402,3008,53,1803,WA,King
33,5700,1013,53,1803,WA,King
33,11900,4003,53,1804,WA,King
33,600,3013,53,1801,WA,King
33,600,3003,53,1801,WA,King
33,10001,1022,53,1805,WA,King
33,20800,3001,53,2001,WA,King
33,28700,2010,53,2005,WA,King
33,29602,1009,53,2008,WA,King
33,29206,1122,53,2006,WA,King
33,11700,3000,53,1805,WA,King
33,11700,1008,53,1804,WA,King
33,4100,2026,53,1802,WA,King
33,10200,1041,53,1804,WA,King
33,27900,4008,53,2005,WA,King
33,27900,3007,53,2005,WA,King
33,26801,1014,53,2005,WA,King
33,3200,7001,53,1801,WA,King
33,3100,4021,53,1801,WA,King
33,3200,6026,53,1801,WA,King
33,3200,6028,53,1801,WA,King
33,3200,4002,53,1801,WA,King
33,26400,2012,53,2005,WA,King
33,3100,3014,53,1801,WA,King
33,3100,3009,53,1801,WA,King
33,3300,5006,53,1801,WA,King
33,3000,4006,53,1801,WA,King
33,11900,4000,53,1804,WA,King
33,11900,3009,53,2004,WA,King
33,27200,2042,53,2005,WA,King
33,7300,1003,53,1803,WA,King
33,10600,5014,53,1805,WA,King
33,11101,1001,53,1804,WA,King
33,11101,2000,53,1804,WA,King
33,11102,2008,53,1804,WA,King
33,11102,2005,53,1804,WA,King
33,10200,2025,53,1804,WA,King
33,11300,1022,53,1805,WA,King
33,21400,3000,53,2001,WA,King
33,21500,1008,53,2001,WA,King
33,20402,4002,53,2001,WA,King
33,20500,3014,53,2001,WA,King
33,10900,2111,53,1805,WA,King
33,11200,2061,53,1805,WA,King
33,4301,3015,53,1802,WA,King
33,21400,2013,53,2001,WA,King
33,700,1011,53,1802,WA,King
33,100,3003,53,1802,WA,King
33,10900,1010,53,1805,WA,King
33,11200,2020,53,1805,WA,King
33,11200,1021,53,1805,WA,King
33,29801,1012,53,2006,WA,King
33,27400,3026,53,2005,WA,King
33,5302,3040,53,1802,WA,King
33,28402,4012,53,2005,WA,King
33,9200,2009,53,1803,WA,King
33,27900,1018,53,2005,WA,King
33,26400,5011,53,2005,WA,King
33,26200,1138,53,2005,WA,King
33,26200,1160,53,2005,WA,King
33,28300,3066,53,2005,WA,King
33,5000,3011,53,1801,WA,King
33,100,1023,53,1802,WA,King
33,29303,5009,53,2004,WA,King
33,28801,1011,53,2005,WA,King
33,28700,4009,53,2005,WA,King
33,27800,1008,53,2005,WA,King
33,28700,4003,53,2005,WA,King
33,28700,2000,53,2005,WA,King
33,27100,2006,53,2005,WA,King
33,27100,2031,53,2005,WA,King
33,27300,3023,53,2005,WA,King
33,28100,2006,53,2005,WA,King
33,26801,2009,53,2005,WA,King
33,26801,1023,53,2005,WA,King
33,26802,1021,53,2005,WA,King
33,26500,3015,53,2005,WA,King
33,26500,3005,53,2005,WA,King
33,26500,3017,53,2005,WA,King
